,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2021-05-29 10:45:00,400,60.96469011211247,3.1240640410738987,0.6901150599307445,104.01430529152279,4.4982104792848325,37.01430529152279,no,400,0.2556365673569679,-0.9479241362611804,1.0041561025340544,63.146536256307726,6.571406105571702,-3.8534637436922736,no,400,-50.347179919651296,-6.197724256130974,0.9635946557779563,9.511897163643084,6.2546140469374905,-57.488102836356916,no,400,-98.6157672747508,-0.9575423832910074,0.9511970196558305,-39.057391393223384,6.223194084383004,-106.05739139322338,no
2021-05-29 11:00:00,400,60.962724631560754,3.12437765828967,0.6902096952136997,104.01826530002411,4.498829627605734,37.01826530002411,no,400,0.2556341104862333,-0.946658988083547,1.0041583094268165,63.14670471124088,6.5714239639721646,-3.8532952887591208,no,400,-50.3462096550125,-6.196976880924312,0.9635936681331148,9.512923813757254,6.254619938598439,-57.487076186242746,no,400,-98.6165262678914,-0.9578222605124451,0.9512016524956527,-39.05786566795905,6.223223834319385,-106.05786566795905,no
2021-05-29 11:15:00,400,60.96075701304711,3.1246911295997495,0.6903042763496776,104.0222197715449,4.499448420766613,37.0222197715449,no,400,0.25563160165613197,-0.9453938191054637,1.0041605158902147,63.14687304507565,6.571441815148351,-3.853126954924349,no,400,-50.34523936365099,-6.196229282408913,0.9635926804224206,9.513950507464358,6.254625832022108,-57.48604949253564,no,400,-98.61728531334296,-0.9581021105790087,0.9512062741347999,-39.05834070116248,6.223253510470174,-106.05834070116248,no
2021-05-29 11:30:00,400,60.95878725690293,3.1250044551319136,0.6903988033517147,104.02616870723737,4.500066858853273,37.026168707237375,no,400,0.25562904949596577,-0.9441286353518519,1.0041627219145337,63.147041265675405,6.5714596590202365,-3.852958734324595,no,400,-50.34426904737762,-6.195481460611135,0.9635916926458927,9.514977242937732,6.254631727206917,-57.48502275706227,no,400,-98.61804441269499,-0.958381933490893,0.9512108845732626,-39.05881649442267,6.223283112835379,-106.05881649442267,no
2021-05-29 11:45:00,400,60.95681536611374,3.125317635013586,0.6904932762327967,104.0301121109048,4.500684941951162,37.030112110904795,no,400,0.25562647593414256,-0.9428634245085689,1.0041649271702746,63.14720937454438,6.571477493453736,-3.8527906254556186,no,400,-50.343298705341454,-6.194733415557065,0.9635907048035331,9.51600402101144,6.254637624151036,-57.48399597898856,no,400,-98.6188035648766,-0.9586617292483242,0.9512154838110329,-39.05929304666881,6.223312641415048,-106.05929304666881,no
2021-05-29 12:00:00,400,60.95484134366647,3.125630669372239,0.690587695005941,104.03404998635379,4.501302670145913,37.03404998635379,no,400,0.25562386204846976,-0.9415981970402839,1.0041671320515342,63.14737737729115,6.571495321012025,-3.85262262270885,no,400,-50.34232833669381,-6.1939851472731,0.9635897168953732,9.517030842519375,6.254643522852979,-57.482969157480625,no,400,-98.61956276881767,-0.9589414978514811,0.9512200718481008,-39.05977035683043,6.223342096209186,-106.05977035683043,no
2021-05-29 12:15:00,400,60.952865189884896,3.125943558335058,0.6906820596841204,104.03798233472504,4.501920043522888,37.037982334725044,no,400,0.25562118956688124,-0.940332949301249,1.004169336526566,63.14754525373572,6.571513141495754,-3.8524547462642786,no,400,-50.34135794324391,-6.19323665578508,0.9635887289214912,9.518057705640274,6.254649423311432,-57.481942294359726,no,400,-98.62032202610663,-0.9592212393005406,0.9512246486844558,-39.06024842649589,6.223371477217803,-106.06024842649589,no
2021-05-29 12:30:00,400,60.950886907747076,3.1262563020291316,0.6907763702803129,104.04190915981377,4.50253706216747,37.04190915981377,no,400,0.25561851422509524,-0.9390676796077522,1.0041715401612492,63.147713032337776,6.571530952054874,-3.8522869676622236,no,400,-50.340387524145,-6.192487941118952,0.9635877408818976,9.519084611204732,6.254655325524734,-57.48091538879527,no,400,-98.62108133567551,-0.959500953595713,0.9512292143200899,-39.06072725459683,6.223400784440965,-106.06072725459683,no
2021-05-29 12:45:00,400,60.94890650023475,3.126568900581362,0.6908706268074808,104.04583046541796,4.503153726164949,37.045830465417964,no,400,0.25561576242802275,-0.93780239063836,1.0041737436098233,63.147880680598696,6.571548756983531,-3.8521193194013037,no,400,-50.33941707854535,-6.191739003301202,0.9635867527766868,9.520111560053351,6.254661229491708,-57.47988843994665,no,400,-98.62184069645093,-0.9597806407371773,0.9512337687549938,-39.061206840059754,6.223430017878627,-106.06120684005975,no
2021-05-29 13:00:00,400,60.94692396766222,3.126881354118557,0.6909648292785853,104.0497462526681,4.503770035600607,37.0497462526681,no,400,0.2556130068353305,-0.9365370799436132,1.0041759462131896,63.14804822976516,6.5715665519545,-3.851951770234841,no,400,-50.338446608256675,-6.190989842358079,0.9635857646057879,9.521138550353271,6.2546671352101315,-57.47886144964673,no,400,-98.62260011002547,-0.9600603007251407,0.9512383119891583,-39.061687184476966,6.223459177530875,-106.06168718447697,no
2021-05-29 13:15:00,400,60.94493931300379,3.127193662767252,0.6910589777065479,104.05365652535214,4.504385990559463,37.05365652535214,no,400,0.2556101950696517,-0.9352717501689884,1.0041781484579766,63.14821565801082,6.57158434016003,-3.8517843419891804,no,400,-50.337476112428874,-6.1902404583153166,0.9635847763693116,9.52216558294441,6.254673042679024,-57.47783441705559,no,400,-98.62335957532633,-0.9603399335597683,0.9512428440225742,-39.06216828677543,6.223488263397721,-106.06216828677543,no
2021-05-29 13:30:00,400,60.942952539231015,3.1275058266538727,0.6911530721042901,104.05756128725527,4.505001591126522,37.05756128725527,no,400,0.2556073400171733,-0.9340064017404353,1.0041803502262834,63.14838297079028,6.571602120823617,-3.85161702920972,no,400,-50.336505590211914,-6.189490851199917,0.9635837880672852,9.523192658661742,6.254678951896708,-57.47680734133826,no,400,-98.62411909128303,-0.9606195392412569,0.9512473648552324,-39.06265014588456,6.223517275479153,-106.06265014588456,no
2021-05-29 13:45:00,400,60.94096364665735,3.1278178459047887,0.6912471124847516,104.06146053950575,4.505616837386942,37.061460539505745,no,400,0.25560444899768847,-0.9327410334108017,1.0041825514131653,63.14855016884882,6.5716198932582826,-3.8514498311511787,no,400,-50.335535043413245,-6.188741021037096,0.963582799699687,9.524219775679512,6.2546848628613425,-57.47578022432049,no,400,-98.62487865948316,-0.9608991177697905,0.951251874487124,-39.06313276339165,6.223546213775212,-106.06313276339165,no
2021-05-29 14:00:00,400,60.93897263824511,3.128129720646053,0.6913410988608101,104.06535428587681,4.506231729425446,37.06535428587681,no,400,0.2556015118297099,-0.9314756469559,1.004184752137727,63.148717249452666,6.57163765824224,-3.851282750547334,no,400,-50.33456447118715,-6.187990967853851,0.9635818112666155,9.52524693483275,6.254690775571779,-57.47475306516725,no,400,-98.62563827885907,-0.9611786691455655,0.9512563729182398,-39.063616138228724,6.2235750782859665,-106.06361613822872,no
2021-05-29 14:15:00,400,60.93697951696146,3.1284414510036473,0.691435031245361,104.06924253014762,4.506846267326866,37.06924253014762,no,400,0.2555985577739729,-0.9302102328125632,1.0041869521858737,63.14888422862689,6.571655414392495,-3.8511157713731095,no,400,-50.33359387268223,-6.187240691675837,0.9635808227680934,9.526274136957284,6.254696690026378,-57.473725863042716,no,400,-98.62639794833831,-0.9614581933687327,0.9512608601485707,-39.06410026932332,6.223603869011342,-106.06410026932332,no
2021-05-29 14:30:00,400,60.93498428311013,3.1287530371034253,0.6915289096512904,104.07312527343335,4.507460451176018,37.07312527343335,no,400,0.2555955604505984,-0.9289448047060017,1.004189151785015,63.149051093956565,6.57167316316824,-3.8509489060434348,no,400,-50.33262324970855,-6.1864901925297975,0.9635798342041709,9.52730138022929,6.254702606223721,-57.47269861977071,no,400,-98.62715766950959,-0.9617376904395007,0.9512653361781078,-39.0645851582637,6.223632585951474,-106.0645851582637,no
2021-05-29 14:45:00,400,60.93298693965171,3.1290644790710145,0.6916227340914601,104.07700251950446,4.508074281057486,37.07700251950446,no,400,0.25559250902426695,-0.9276793551292943,1.0041913508933973,63.14921783216359,6.571690904314239,-3.8507821678364067,no,400,-50.33165260141374,-6.185739470441265,0.9635788455747906,9.528328665480728,6.2547085241616935,-57.47167133451927,no,400,-98.6279174413022,-0.9620171603580232,0.9512698010068418,-39.06507080397904,6.223661229106311,-106.06507080397904,no
2021-05-29 15:00:00,400,60.93098748954437,3.1293757770319264,0.6917165045787215,104.08087427212838,4.508687757055868,37.08087427212838,no,400,0.25558941247815964,-0.9264138874932323,1.0041935495405268,63.1493844540007,6.571708638015385,-3.850615545999297,no,400,-50.33068192695015,-6.184988525437149,0.9635778568800761,9.52935599354987,6.254714443839283,-57.47064400645013,no,400,-98.628677262645,-0.9622966031245086,0.9512742546347641,-39.065557205397965,6.223689798475876,-106.06555720539797,no
2021-05-29 15:15:00,400,60.92898593308388,3.129686931111473,0.6918102211259061,104.08474053240887,4.509300879255557,37.08474053240887,no,400,0.25558632082299404,-0.9251483965464027,1.0041957473670815,63.149550986996886,6.571726361922578,-3.8504490130031144,no,400,-50.32971122812728,-6.184237357543356,0.963576868120112,9.530383362615794,6.254720365255298,-57.469616637384206,no,400,-98.62943713512647,-0.9625760187391185,0.9512786970618663,-39.06604436410879,6.2237182940602604,-106.06604436410879,no
2021-05-29 15:30:00,400,60.926982273228425,3.129997941434942,0.6919038837458765,104.08860130411406,4.5099136477412,37.088601304114064,no,400,0.25558313952343503,-0.9238828884635516,1.0041979449883938,63.14971737517973,6.571744080065229,-3.8502826248202666,no,400,-50.32874050409208,-6.183485966786218,0.963575879294821,9.531410773509549,6.254726288407491,-57.46858922649045,no,400,-98.63019705767465,-0.9628554072020125,0.9512831282881383,-39.066532279039166,6.22374671585941,-106.06653227903917,no
2021-05-29 15:45:00,400,60.92497651292457,3.130308808127307,0.6919974924514236,104.09245659099594,4.510526062596959,37.09245659099594,no,400,0.2555799691579947,-0.9226173588579281,1.004200141783922,63.1498836801878,6.5717617883745385,-3.8501163198122015,no,400,-50.32776975399736,-6.18273435319182,0.9635748904042581,9.5324382270652,6.254732213294386,-57.4675617729348,no,400,-98.63095702922112,-0.9631347685133614,0.9512875483135723,-39.06702094912049,6.223775063873413,-106.06702094912049,no
2021-05-29 16:00:00,400,60.92296865246351,3.1306195313134144,0.692091047255351,104.09630639415195,4.511138123907071,37.09630639415195,no,400,0.2555767081994309,-0.9213518123474286,1.0042023383688061,63.15004983908374,6.571779490882709,-3.849950160916258,no,400,-50.326798979651755,-6.181982516786809,0.9635739014484882,9.533465721460914,6.254738139914723,-57.466534278539086,no,400,-98.63171705135312,-0.9634141026733537,0.9512919571381585,-39.067510375939776,6.223803338102244,-106.06751037593978,no
